0topicular.lancer-name|랜서
topicular.lancer-description|캠페인에 근접 전투하는 랜서 버전을 추가합니다.

Horn|뿔
Feeble but cautious cub. Stranded in a harsh world and surrounded by<LINE>its creatures, your journey will be a significantly more challenging one.|연약하지만 조심스러운 아이. 혹독한 세계에 고립되어<LINE>그 생물들에게 둘러싸인, 당신의 여정은 훨씬 더 도전다울 것이다.
To be released...|출시 예정...

Lancer Interaction:|랜서 상호작용:

Perform a rocket backflip by slide-boosting and backward throw with a spear|슬라이딩을 하면서 창을 반대로 꽂아 로켓 백플립을 한다

// SLOracle
lancersl-tiny|자그만
lancersl-student|학생
lancersl-child|아이
lancersl-imp|요물
lancersl-animal|짐승

// Lurvivor SLOracle first visit
Get... get away... small.... thing.|저리... 저리 가... 조그만.... 것.
I see that someone has given you the gift of communication.<LINE>Must have been Five Pebbles, as you don't look like you can travel very far at all...|누군가가 너에게 소통의 선물을 준 것 같구나.<LINE>분명 다섯 조약돌이겠지, 네가 멀리 여행할 수 있을 리가 없으니까...
He's sick, if you haven't noticed. Being corrupted from the inside by his own experiments. Maybe they all are by now, who knows.<LINE>We weren't designed to transcend and it drives us mad.|혹시 눈치 못 챘다면, 조약돌은 아파. 자기가 행한 실험 때문에 안쪽에서부터 오염되어가고 있지.<LINE>어쩌면 이제 와선 완전히 오염되었을지도 모르지만, 알 도리가 없어.<LINE>우리는 초월하도록 설계되지 않았고, 그게 우리를 미치도록 해.
It is good to have someone to talk to even if that's a child like you.<LINE>My last visitor stopped coming here some time ago, and<LINE>here I was about to get used to their visits.|어리다고 해도 누군가에게 말을 할 수 있다니 좋구나.<LINE>지난 방문자는 얼마전부터 그만 오고 있거든.<LINE>슬슬 걔의 방문에 익숙해지려던 차였는데 말이야.
Hello <PlayerName>. Are you lost?|안녕, <PlayerName>. 길을 잃었니?
I am sorry to say that there is nothing here for you.|미안하지만 여기에는 네게 줄 수 있는 게 아무것도 없단다.
// Lurvivor SLOracle second visit
I do enjoy the company though. You're welcome to stay a while, quiet petite thing.|그래도 누군가 함께 있는 건 좋아. 잠시 머물러도 좋단다, 조용하고 자그만 생물아.
I have had another visitor from your specie before. And they left me alive!<LINE>But... I have told you that already, haven't I?|네 종의 방문자가 들렀던 적이 있었어. 그리고 내가 살게 내버려뒀지!<LINE>하지만... 이것도 이미 내가 말한 거 아니야?
Even the last visitor that came here from time to time left with nothing. But... I have told you that already, haven't I?|때때로 여기를 찾아왔던 지난 방문자도 빈손으로 돌아갔지.<LINE>하지만... 이것도 이미 네게 한 이야기 아니니?

// Lurvivor SLOracle bring neuron
Maybe this is asking too much for a child like you but...<LINE>could you bring me another one?|너같은 아이에게는 무리한 부탁일 수도 있지만...<LINE>하나 더 가져와 줄 수 있을까?
Or actually I'm sure he would, but he has so many of these~<LINE>it doesn't do him any difference.<LINE>For me though, it does! Thank you, tiny creature!|사실 신경은 쓰겠지만, 조약돌은 정말 많이 갖고 있으니까~<LINE>별 영향도 없을 거야.<LINE>그렇지만 내게는 커다란 차이인걸! 고마워, 조그만 생물아!

// Lunter
Thank you, No Significant Harassment, for trying so hard.|고마워, 심각하지 않은 괴롭힘, 열심히 노력해줘서.
I see now. Again, thank you, No Significant Harassment.|이제 알겠어. 다시 한번 고마워, 심각하지 않은 괴롭힘.
I am happy to not be alone.|혼자가 아니라서 기쁘네.
